,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
128,2108 S 375th St,98003,475000,4,2.75,2450.0,1993.0,http://www.redfin.com/WA/Federal-Way/2108-S-375th-St-98003/home/366224,47.26649570000001,-122.30677
129,3615 Manchester Way,98032,509950,4,2.25,2160.0,1966.0,http://www.redfin.com/WA/Kent/3615-Manchester-Way-98032/home/207732,47.361971000000004,-122.28578529999999
130,26402 Manchester Ave,98032,475000,5,2.25,2720.0,1963.0,http://www.redfin.com/WA/Kent/26402-Manchester-Ave-98032/home/208112,47.36507329999999,-122.28776780000001
131,5705 NE 197th St,98028,625000,4,2.5,2100.0,1967.0,http://www.redfin.com/WA/Kenmore/5705-NE-197th-St-98028/home/93016,47.7712899,-122.26831670000001
132,20999 NE 15th St,98074,1198000,6,3.75,3501.0,2020.0,http://www.redfin.com/WA/Sammamish/20999-NE-15th-St-98074/home/170193725,47.6222108,-122.06024779999998
133,2421 NW 61st St Unit A,98107,699900,3,2.5,1358.0,2013.0,http://www.redfin.com/WA/Seattle/2421-NW-61st-St-98107/unit-A/home/45498067,47.67281,-122.388655
134,7518 151st Ave NE,98052,625000,3,1.75,960.0,1972.0,http://www.redfin.com/WA/Redmond/7518-151st-Ave-NE-98052/home/515038,47.672098299999995,-122.13867069999999
135,718 N 94th St Unit A,98103,512500,2,2.25,1110.0,1998.0,http://www.redfin.com/WA/Seattle/718-N-94th-St-98103/unit-A/home/98753,47.6970664,-122.3489611
136,28862 38th Ave S,98001,399950,4,1.75,2100.0,1962.0,http://www.redfin.com/WA/Auburn/28862-38th-Ave-S-98001/home/211176,47.3416595,-122.28531729999999
137,7700 Martin Luther King Jr Way S,98118,975000,0,,,,http://www.redfin.com/WA/Seattle/7700-Martin-Luther-King-Jr-Way-S-98118/home/480666,47.533251899999996,-122.2804361
138,925 B 10th Ave E,98102,700000,2,1.75,1192.0,2019.0,http://www.redfin.com/WA/Seattle/925-10th-Ave-E-98102/home/135776,47.6276481,-122.32053529999999
139,25330 161st Ave SE,98042,499000,4,2.5,3080.0,2003.0,http://www.redfin.com/WA/Covington/25330-161st-Ave-SE-98042/home/394640,47.3743109,-122.12664609999999
140,3203 S Lane St,98144,1750000,4,3.25,3200.0,1988.0,http://www.redfin.com/WA/Seattle/3203-S-Lane-St-98144/home/141139,47.5964524,-122.291114
141,4012 14th Ave S Unit B,98108,525000,3,1.75,1300.0,2011.0,http://www.redfin.com/WA/Seattle/4012-14th-Ave-S-98108/unit-B/home/39904575,47.567538,-122.31428799999999
142,3656 36th Ave S,98144,645000,3,1.75,1459.0,2014.0,http://www.redfin.com/WA/Seattle/3656-36th-Ave-S-98144/home/69357069,47.5699099,-122.2881188
143,11714 SE 65th St,98006,798800,3,,2000.0,1977.0,http://www.redfin.com/WA/Bellevue/11714-SE-65th-St-98006/home/415739,47.545154600000004,-122.18373340000001
144,225 Auburn Way S,98002,3650000,0,,,,http://www.redfin.com/WA/Auburn/225-Auburn-Way-S-98002/home/2061672,47.3049325,-122.2262368
145,35907 14th Pl S,98003,325000,3,1.75,1960.0,1980.0,http://www.redfin.com/WA/Federal-Way/35907-14th-Pl-S-98003/home/360223,47.2796586,-122.3154601
146,2500 S 370th St #111,98003,82500,2,1.75,1392.0,1979.0,http://www.redfin.com/WA/Federal-Way/2500-S-370th-St-98003/unit-111/home/143681787,47.271061200000005,-122.30069350000001
